SCRIP,LDCP,OPEN,HIGH,LOW,CURRENT,CHANGE,VOLUME
Khalid Siraj,11.09,11.35,11.4,10.75,10.99,  -0.3,"179,040"
Kohat Textile,60.19,60.55,60.99,60.06,60.51,  0.18,"32,783"
Kohinoor Spining,6.74,6.71,6.82,6.71,6.71,  -0.01,"5,595,990"
Maqbool Textile,35.47,36.39,36.39,35.06,35.6,  0.01,"5,312"
Nagina Cotton,74.30,72.99,72.99,72.99,72.99,  ,100
Nazir Cotton Mills,13.52,14.62,14.62,13.0,14.0,  0.48,"27,342"
Premium Tex.,480.89,452.0,483.9,432.81,479.9,  -18.19,577
Reliance Cotton,545.25,534.35,534.35,498.01,500.01,  -40.86,"1,002"
Ruby Textile,14.11,14.9,14.9,13.2,13.89,  -0.65,"17,117"
Saif Textile,30.10,28.35,32.89,28.35,32.89,  1.07,"12,445"
Sally Textile,16.17,16.17,16.17,15.61,16.17,  -0.16,"8,717"
Sana Ind.,26.00,27.4,27.4,27.0,27.0,  ,35
Saritow Spinning,14.03,14.99,15.43,14.99,15.43,  1.4,"101,917"
Service Ind Tex,22.86,23.0,23.0,22.24,22.79,  -0.07,"7,582"
Shadab Textile,59.98,58.58,60.98,54.26,60.85,  0.87,"17,721"
Shadman Cotton,58.08,63.88,63.89,59.0,63.89,  5.81,"4,192"
Shahzad Tex.,57.00,58.1,59.95,57.99,57.99,  0.99,"2,059"
Sunrays Textile,168.67,168.0,184.9,166.0,177.0,  5.04,"10,437"
Tata Textile,190.83,192.69,192.69,181.15,182.99,  -6.56,"102,053"
Ashfaq Textile,23.15,24.45,24.45,22.53,23.0,  0.19,"1,029"
ICC Industries,11.47,11.2,11.7,11.2,11.35,  0.02,"3,471"
Prosperity Weaving,61.03,57.01,61.0,57.01,59.0,  -3.53,826
Shahtaj Textile,79.35,73.0,79.44,73.0,79.44,  -3.71,438
Yousuf Weaving,5.63,5.6,5.73,5.51,5.55,  -0.1,"1,641,019"
Zephyr Textile,17.30,17.0,17.5,16.6,17.15,  -0.27,"55,712"
Khyber Tobacco,454.09,457.0,464.99,453.0,456.99,  0.41,"24,869"
Pak Tobacco,"1,368.03",1357.1,1434.5,1357.1,1430.0,  59.45,"99,055"
Philip Morris Pak.,"1,300.00",1300.0,1300.0,1300.0,1300.0,  ,250
Cordoba Logist,18.82,18.98,18.98,17.92,18.93,  -0.17,657
P.N.S.C,416.92,415.0,416.92,410.0,411.2,  -5.68,"78,928"
Pak Int.Bulk,13.09,13.09,13.34,12.9,12.9,  -0.09,"16,507,620"
Pak.Int.Container,42.03,41.63,42.34,41.35,41.5,  -0.55,"212,697"
Secure Logistics Gro,18.57,18.5,19.67,18.34,19.15,  0.61,"7,587,572"
Punjab Oil,203.56,206.99,206.99,199.0,200.0,  -3.56,"20,298"
S.S.Oil,663.78,686.0,686.0,635.0,648.9,  -19.3,"26,075"
Bannu Woollen,76.92,77.8,77.8,77.0,77.0,  0.1,"15,078"
The Pakistan Credit,27.00,28.0,28.0,28.0,28.0,  1.0,645
Pak Agro Pack,14.50,14.26,14.75,14.26,14.75,  0.25,"3,500"
Mughal Energy Ltd,25.32,27.0,27.0,22.8,23.0,  ,266
Nets International,42.71,45.0,45.0,45.0,45.0,  ,45
Supernet Ltd.XB,39.00,40.98,40.98,37.15,39.97,  -0.98,"119,160"
Blue-Ex,65.86,60.05,70.0,59.27,70.0,  1.39,"8,143"
